"","growth_phase","pred_val","pred_l95","pred_u95","pred_stderr","pred_df","pred_n","pred_resid"
"1","log","11556.9619907148","8337.30142625454","14776.6225551751","1361.59500279656","7","9","131.040059019527"
"2","stationary","2497.58606109906","2003.63902259591","2991.5330996022","208.89028697495","7","9","101.896069451326"
