"","water_type","growth_phase","pred_val","pred_l95","pred_u95","pred_stderr","pred_df","pred_n","pred_resid"
"1","distilled","early_stat_40h","1726.548345213","1474.49993944936","1978.59675097663","98.0511113357514","5","7","114.621200329122"
"2","distilled","late_stat_48h","2628.5768032441","2426.54658767384","2830.60701881435","101.067080670605","62","64","180.07817596956"
"3","distilled","log_20h","727.957212081536","635.701333092724","820.213091070348","35.8891040580215","5","7","94.8756945691084"
"4","YEPD","late_stat_48h","9990.67707632249","7882.76290728143","12098.5912453636","967.459958165846","12","14","182.404607674899"
