"","temp_C","pred_val","pred_l95","pred_u95","pred_stderr","pred_df","pred_n","pred_resid"
"1","5","1.27609523809524","1.25827655749936","1.29391391869111","0.00641780403384061","4","6","0.0150870490030043"
"2","10","0.954857142857143","0.94765919168743","0.962055094026855","0.00259250620739349","4","6","0.00609449400220028"
"3","15","0.633714285714286","0.63025650181833","0.637172069610242","0.00124539969815445","4","6","0.00292770021884554"
"4","20","0.48","0.48","0.48","6.74101940428715e-17","4","6","1.58468674871366e-16"
"5","25","0.32","0.32","0.32","1.9481787226395e-17","4","6","4.57980139313838e-17"
