"","pH","pred_val","pred_l95","pred_u95","pred_stderr","pred_df","pred_n","pred_resid"
"1","5.3","-0.229806690212396","-1.69441232653812","1.23479894611333","0.115266963403791","1","3","0.060283337003181"
"2","8.5","0.682838530891599","-5.22305662949105","6.58873369127424","1.85577213057053","3","5","1.29398262711758"
