"","growth_phase","pred_val","pred_l95","pred_u95","pred_stderr","pred_df","pred_n","pred_resid"
"1","log","18272.0234849548","15176.9557806826","21367.0911892271","1114.75919278143","4","6","132.485960831839"
"2","stationary","7254.27634467529","5499.43335645089","9009.11933289969","632.046707834832","4","6","198.408578545038"
